Date,Content,Label
2022-04-08 02:53:31+00:00,gorengan wkwk bihun mit dimsum cendol es buah es pisang ijo,Neutral
2022-04-08 02:47:43+00:00,sebut n ku k bar mmhku b,Positive
2022-04-08 02:46:05+00:00,mantap sekali ipeeehhhh,Positive
2022-04-08 02:40:35+00:00,tak gemplang kau yak,Negative
2022-04-08 02:35:53+00:00,malam ini mau ngobrolin etika berkunjung klivstream content creator yang sering diabaikan sama orang orang tim,Neutral
2022-04-08 02:26:38+00:00,canggung kenapa takut kakak tiba nyulik aku kah,Positive
2022-04-08 02:07:32+00:00,lah itu pukis tak kirain itu terang bulan,Neutral
2022-04-08 02:06:49+00:00,pisang goreng ama sambel d,Neutral
2022-04-08 02:04:17+00:00,kolak nangka kek nya enak tuh heh,Neutral
2022-04-08 01:54:44+00:00,apa aja bebas yang penting enak,Positive
2022-04-08 01:51:28+00:00,waduh abang abangan nih d btw andi adek nya banyak ya wkwkw,Positive
2022-04-08 01:40:46+00:00,ini kak,Neutral
2022-04-08 01:39:31+00:00,ayam richeessabi sih biar nambah hot yang hot makanannya maksutnya bukan mitinya wkwk,Positive
2022-04-08 01:38:58+00:00,es pisang ijo mit,Neutral
2022-04-08 01:35:17+00:00,migelas ga pakai kuah,Neutral
2022-04-08 01:35:02+00:00,kubasah jajanan pasar,Neutral
2022-04-08 01:32:23+00:00,di goa ga ada pukis kah mit,Negative
2022-04-08 01:29:46+00:00,enak banget pukis mit wajicobain apalagi yg toppingnya meses,Positive
2022-04-08 01:29:18+00:00,thlast boss kroco atau tutut inget ya tutut jangan salah sebut ini mungkin susah cari nya,Neutral
2022-04-08 01:27:01+00:00,cireng isi stoberi,Neutral
2022-04-08 01:22:45+00:00,nklepon mungkin miti familiar lah ya sma ini,Neutral
2022-04-08 01:21:34+00:00,nbongko pisang roti gatau di tmpt miti namanya bisa setup maybasically ini kuah kolak isi n,Neutral
2022-04-08 01:20:19+00:00,aku nggak tau ditempat miti ada jualan ini nggak model ikan bisa dibilang seperti pempek kapal sela,Neutral
2022-04-08 01:20:18+00:00,ohamiti review varian rasa kuskus mit wkwk,Positive
2022-04-08 01:18:57+00:00,okay donsomresearch takjil yg mungkin miti blom pernah coba first bubur mutiara kmaren mit,Positive
2022-04-08 01:17:35+00:00,pukis mana nih keju kerikilan gitu biasaya mah cuma gula pasir sama meses doang k,Neutral
2022-04-08 01:15:12+00:00,kek nya klo didaerah miti jarang yang jual klo ada pun itu nnti penjualnya pasti dari ja,Positive
2022-04-08 01:13:43+00:00,ohamitiiiii hmm gimana kalo jajanan sd aja kak kayak telur gulung cilok amp cilor dan martabak mini sama misakura gt lt,Positive
2022-04-08 01:12:54+00:00,makan manisan cangkaleng kak d,Positive
2022-04-08 01:10:54+00:00,wahh kasar tidak ramah,Negative
2022-04-08 01:08:42+00:00,enak banget apa lagi panas panasnya,Positive
2022-04-08 01:07:54+00:00,ohamitii mungkin bisa coba bbrp jajanan pasar gtu,Positive
2022-04-08 01:02:36+00:00,ohamitii cobain kupukis enak banget sama minum es buah btw ini yg namanya pukis kak mitii rasany,Positive
